Rank,Symbol,Name,Market Cap,Volume,V/C ‱,1d %,3d %,7d %,15d %,30d %,90d %,6mo %,1y %,2y %,3y %,4y %
1,AAPL,Apple Inc.,3315828260864,42364298,0.13,1.13,2.55,5.27,-7.27,-2.92,-2.64,-0.04,25.27,37.71,94.86,429.67
2,NVDA,NVIDIA Corporation,2962403885056,209468681,0.71,3.15,3.31,5.04,6.45,-6.48,-17.75,-5.33,165.43,511.01,853.53,3551.99
3,MSFT,Microsoft Corporation,2922148790272,20132071,0.07,0.47,1.36,3.78,1.18,-3.88,-6.6,-14.19,21.5,43.65,93.61,245.93
4,AMZN,"Amazon.com, Inc.",2154088366080,38564213,0.18,3.59,3.95,4.83,-0.86,-11.3,-2.36,2.87,58.85,39.15,33.94,140.16
5,GOOGL,Alphabet Inc.,2056393850880,30515916,0.15,2.25,2.31,3.02,0.52,-9.42,-5.77,-9.43,22.46,36.89,93.91,224.4
5,GOOG,Alphabet Inc.,2056390705152,18667259,0.09,2.21,2.2,3.16,0.87,-9.09,-5.31,-8.99,23.07,38.53,96.2,229.53
6,META,"Meta Platforms, Inc.",1567955353600,15617089,0.1,3.79,5.96,4.87,-5.44,-13.31,5.19,21.67,97.12,232.51,128.23,278.78
7,BRK-B,Berkshire Hathaway Inc. New,1134910504960,4802916,0.04,0.75,0.11,4.28,3.09,11.23,13.47,29.59,51.83,56.06,130.15,164.83
8,AVGO,Broadcom Inc.,899247898624,31973062,0.36,-0.21,-1.91,0.24,2.38,-14.69,4.74,11.6,131.06,246.76,486.92,798.3
9,TSLA,"Tesla, Inc.",895447007232,160912971,1.8,11.93,18.03,15.67,-2.2,-23.02,-13.33,12.99,6.86,-16.32,103.52,2233.27
10,LLY,Eli Lilly and Company,776670674944,2206872,0.03,3.26,3.33,7.89,-6.97,-1.36,4.36,-3.24,54.57,211.7,521.5,700.64
